drink_name,category,brand,price_usd,alcohol_level_abv,taste_node,availability_score,place_type
Bourbon 2153,spirits/cocktails,Barefoot,92.0,22.0,Sweet,High,global
Rye Whiskey 2154,spirits/cocktails,Robert Mondavi,92.75,23.0,Spicy,High,global
Gin 2155,spirits/cocktails,Kim Crawford,93.5,24.0,Citrusy / Sour,Medium,global
Gin 2156,spirits/cocktails,Crown Royal,94.25,25.0,Herbal / Floral,High,global
Scotch 2157,spirits/cocktails,Buffalo Trace,95.0,26.0,Smoky,High,global
Cognac 2158,wine,Bulleit,95.75,27.0,Rich / Fruity,Medium,global
Vodka 2159,spirits/cocktails,Captain Morgan,96.5,28.0,Dry / Crisp,High,global
Aged Bourbon 2160,spirits/cocktails,Don Julio,97.25,29.0,Nutty / Woody,High,global
Bourbon 2161,spirits/cocktails,Jameson,8.0,30.0,Sweet,Medium,global
Rye Whiskey 2162,spirits/cocktails,Jack Daniel's,8.75,31.0,Spicy,High,global
Gin 2163,spirits/cocktails,Johnnie Walker,9.5,32.0,Citrusy / Sour,High,global
Gin 2164,spirits/cocktails,Glenfiddich,10.25,33.0,Herbal / Floral,Medium,global
Scotch 2165,spirits/cocktails,Gordon's,11.0,34.0,Smoky,High,global
Cognac 2166,wine,Tanqueray,11.75,35.0,Rich / Fruity,High,global
Vodka 2167,spirits/cocktails,Bacardi,12.5,36.0,Dry / Crisp,Medium,global
Aged Bourbon 2168,spirits/cocktails,Patron,13.25,37.0,Nutty / Woody,High,global
Bourbon 2169,spirits/cocktails,Absolut,14.0,38.0,Sweet,High,global
Rye Whiskey 2170,spirits/cocktails,Smirnoff,14.75,39.0,Spicy,Medium,global
Gin 2171,spirits/cocktails,Moet & Chandon,15.5,5.0,Citrusy / Sour,High,global
Gin 2172,spirits/cocktails,La Marca,16.25,6.0,Herbal / Floral,High,global
Scotch 2173,spirits/cocktails,Barefoot,17.0,7.0,Smoky,Medium,global
Cognac 2174,wine,Robert Mondavi,17.75,8.0,Rich / Fruity,High,global
Vodka 2175,spirits/cocktails,Kim Crawford,18.5,9.0,Dry / Crisp,High,global
Aged Bourbon 2176,spirits/cocktails,Crown Royal,19.25,10.0,Nutty / Woody,Medium,global
Bourbon 2177,spirits/cocktails,Buffalo Trace,20.0,11.0,Sweet,High,global
Rye Whiskey 2178,spirits/cocktails,Bulleit,20.75,12.0,Spicy,High,global
Gin 2179,spirits/cocktails,Captain Morgan,21.5,13.0,Citrusy / Sour,Medium,global
Gin 2180,spirits/cocktails,Don Julio,22.25,14.0,Herbal / Floral,High,global
Scotch 2181,spirits/cocktails,Jameson,23.0,15.0,Smoky,High,global
Cognac 2182,wine,Jack Daniel's,23.75,16.0,Rich / Fruity,Medium,global
Vodka 2183,spirits/cocktails,Johnnie Walker,24.5,17.0,Dry / Crisp,High,global
Aged Bourbon 2184,spirits/cocktails,Glenfiddich,25.25,18.0,Nutty / Woody,High,global
Bourbon 2185,spirits/cocktails,Gordon's,26.0,19.0,Sweet,Medium,global
Rye Whiskey 2186,spirits/cocktails,Tanqueray,26.75,20.0,Spicy,High,global
Gin 2187,spirits/cocktails,Bacardi,27.5,21.0,Citrusy / Sour,High,global
Gin 2188,spirits/cocktails,Patron,28.25,22.0,Herbal / Floral,Medium,global
Scotch 2189,spirits/cocktails,Absolut,29.0,23.0,Smoky,High,global
Cognac 2190,wine,Smirnoff,29.75,24.0,Rich / Fruity,High,global
Vodka 2191,spirits/cocktails,Moet & Chandon,30.5,25.0,Dry / Crisp,Medium,global
Aged Bourbon 2192,spirits/cocktails,La Marca,31.25,26.0,Nutty / Woody,High,global
Bourbon 2193,spirits/cocktails,Barefoot,32.0,27.0,Sweet,High,global
Rye Whiskey 2194,spirits/cocktails,Robert Mondavi,32.75,28.0,Spicy,Medium,global
Gin 2195,spirits/cocktails,Kim Crawford,33.5,29.0,Citrusy / Sour,High,global
Gin 2196,spirits/cocktails,Crown Royal,34.25,30.0,Herbal / Floral,High,global
Scotch 2197,spirits/cocktails,Buffalo Trace,35.0,31.0,Smoky,Medium,global
Cognac 2198,wine,Bulleit,35.75,32.0,Rich / Fruity,High,global
Vodka 2199,spirits/cocktails,Captain Morgan,36.5,33.0,Dry / Crisp,High,global
Aged Bourbon 2200,spirits/cocktails,Don Julio,37.25,34.0,Nutty / Woody,Medium,global
Bourbon 2201,spirits/cocktails,Jameson,38.0,35.0,Sweet,High,global
Rye Whiskey 2202,spirits/cocktails,Jack Daniel's,38.75,36.0,Spicy,High,global
Gin 2203,spirits/cocktails,Johnnie Walker,39.5,37.0,Citrusy / Sour,Medium,global
Gin 2204,spirits/cocktails,Glenfiddich,40.25,38.0,Herbal / Floral,High,global
Scotch 2205,spirits/cocktails,Gordon's,41.0,39.0,Smoky,High,global
Cognac 2206,wine,Tanqueray,41.75,5.0,Rich / Fruity,Medium,global
Vodka 2207,spirits/cocktails,Bacardi,42.5,6.0,Dry / Crisp,High,global
Aged Bourbon 2208,spirits/cocktails,Patron,43.25,7.0,Nutty / Woody,High,global
Bourbon 2209,spirits/cocktails,Absolut,44.0,8.0,Sweet,Medium,global
Rye Whiskey 2210,spirits/cocktails,Smirnoff,44.75,9.0,Spicy,High,global
Gin 2211,spirits/cocktails,Moet & Chandon,45.5,10.0,Citrusy / Sour,High,global
Gin 2212,spirits/cocktails,La Marca,46.25,11.0,Herbal / Floral,Medium,global
Scotch 2213,spirits/cocktails,Barefoot,47.0,12.0,Smoky,High,global
Cognac 2214,wine,Robert Mondavi,47.75,13.0,Rich / Fruity,High,global
Vodka 2215,spirits/cocktails,Kim Crawford,48.5,14.0,Dry / Crisp,Medium,global
Aged Bourbon 2216,spirits/cocktails,Crown Royal,49.25,15.0,Nutty / Woody,High,global
Bourbon 2217,spirits/cocktails,Buffalo Trace,50.0,16.0,Sweet,High,global
Rye Whiskey 2218,spirits/cocktails,Bulleit,50.75,17.0,Spicy,Medium,global
Gin 2219,spirits/cocktails,Captain Morgan,51.5,18.0,Citrusy / Sour,High,global
Gin 2220,spirits/cocktails,Don Julio,52.25,19.0,Herbal / Floral,High,global
Scotch 2221,spirits/cocktails,Jameson,53.0,20.0,Smoky,Medium,global
Cognac 2222,wine,Jack Daniel's,53.75,21.0,Rich / Fruity,High,global
Vodka 2223,spirits/cocktails,Johnnie Walker,54.5,22.0,Dry / Crisp,High,global
Aged Bourbon 2224,spirits/cocktails,Glenfiddich,55.25,23.0,Nutty / Woody,Medium,global
Bourbon 2225,spirits/cocktails,Gordon's,56.0,24.0,Sweet,High,global
Rye Whiskey 2226,spirits/cocktails,Tanqueray,56.75,25.0,Spicy,High,global
Gin 2227,spirits/cocktails,Bacardi,57.5,26.0,Citrusy / Sour,Medium,global
Gin 2228,spirits/cocktails,Patron,58.25,27.0,Herbal / Floral,High,global
Scotch 2229,spirits/cocktails,Absolut,59.0,28.0,Smoky,High,global
Cognac 2230,wine,Smirnoff,59.75,29.0,Rich / Fruity,Medium,global
Vodka 2231,spirits/cocktails,Moet & Chandon,60.5,30.0,Dry / Crisp,High,global
Aged Bourbon 2232,spirits/cocktails,La Marca,61.25,31.0,Nutty / Woody,High,global
Bourbon 2233,spirits/cocktails,Barefoot,62.0,32.0,Sweet,Medium,global
Rye Whiskey 2234,spirits/cocktails,Robert Mondavi,62.75,33.0,Spicy,High,global
Gin 2235,spirits/cocktails,Kim Crawford,63.5,34.0,Citrusy / Sour,High,global
Gin 2236,spirits/cocktails,Crown Royal,64.25,35.0,Herbal / Floral,Medium,global
Scotch 2237,spirits/cocktails,Buffalo Trace,65.0,36.0,Smoky,High,global
Cognac 2238,wine,Bulleit,65.75,37.0,Rich / Fruity,High,global
Vodka 2239,spirits/cocktails,Captain Morgan,66.5,38.0,Dry / Crisp,Medium,global
Aged Bourbon 2240,spirits/cocktails,Don Julio,67.25,39.0,Nutty / Woody,High,global
Bourbon 2241,spirits/cocktails,Jameson,68.0,5.0,Sweet,High,global
Rye Whiskey 2242,spirits/cocktails,Jack Daniel's,68.75,6.0,Spicy,Medium,global
Gin 2243,spirits/cocktails,Johnnie Walker,69.5,7.0,Citrusy / Sour,High,global
Gin 2244,spirits/cocktails,Glenfiddich,70.25,8.0,Herbal / Floral,High,global
Scotch 2245,spirits/cocktails,Gordon's,71.0,9.0,Smoky,Medium,global
Cognac 2246,wine,Tanqueray,71.75,10.0,Rich / Fruity,High,global
Vodka 2247,spirits/cocktails,Bacardi,72.5,11.0,Dry / Crisp,High,global
Aged Bourbon 2248,spirits/cocktails,Patron,73.25,12.0,Nutty / Woody,Medium,global
Bourbon 2249,spirits/cocktails,Absolut,74.0,13.0,Sweet,High,global
Rye Whiskey 2250,spirits/cocktails,Smirnoff,74.75,14.0,Spicy,High,global
Gin 2251,spirits/cocktails,Moet & Chandon,75.5,15.0,Citrusy / Sour,Medium,global
Gin 2252,spirits/cocktails,La Marca,76.25,16.0,Herbal / Floral,High,global
Scotch 2253,spirits/cocktails,Barefoot,77.0,17.0,Smoky,High,global
Cognac 2254,wine,Robert Mondavi,77.75,18.0,Rich / Fruity,Medium,global
Vodka 2255,spirits/cocktails,Kim Crawford,78.5,19.0,Dry / Crisp,High,global
Aged Bourbon 2256,spirits/cocktails,Crown Royal,79.25,20.0,Nutty / Woody,High,global
Bourbon 2257,spirits/cocktails,Buffalo Trace,80.0,21.0,Sweet,Medium,global
Rye Whiskey 2258,spirits/cocktails,Bulleit,80.75,22.0,Spicy,High,global
Gin 2259,spirits/cocktails,Captain Morgan,81.5,23.0,Citrusy / Sour,High,global
Gin 2260,spirits/cocktails,Don Julio,82.25,24.0,Herbal / Floral,Medium,global
Scotch 2261,spirits/cocktails,Jameson,83.0,25.0,Smoky,High,global
Cognac 2262,wine,Jack Daniel's,83.75,26.0,Rich / Fruity,High,global
Vodka 2263,spirits/cocktails,Johnnie Walker,84.5,27.0,Dry / Crisp,Medium,global
Aged Bourbon 2264,spirits/cocktails,Glenfiddich,85.25,28.0,Nutty / Woody,High,global
Bourbon 2265,spirits/cocktails,Gordon's,86.0,29.0,Sweet,High,global
Rye Whiskey 2266,spirits/cocktails,Tanqueray,86.75,30.0,Spicy,Medium,global
Gin 2267,spirits/cocktails,Bacardi,87.5,31.0,Citrusy / Sour,High,global
Gin 2268,spirits/cocktails,Patron,88.25,32.0,Herbal / Floral,High,global
Scotch 2269,spirits/cocktails,Absolut,89.0,33.0,Smoky,Medium,global
Cognac 2270,wine,Smirnoff,89.75,34.0,Rich / Fruity,High,global
Vodka 2271,spirits/cocktails,Moet & Chandon,90.5,35.0,Dry / Crisp,High,global
Aged Bourbon 2272,spirits/cocktails,La Marca,91.25,36.0,Nutty / Woody,Medium,global
Bourbon 2273,spirits/cocktails,Barefoot,92.0,37.0,Sweet,High,global
Rye Whiskey 2274,spirits/cocktails,Robert Mondavi,92.75,38.0,Spicy,High,global
Gin 2275,spirits/cocktails,Kim Crawford,93.5,39.0,Citrusy / Sour,Medium,global
Gin 2276,spirits/cocktails,Crown Royal,94.25,5.0,Herbal / Floral,High,global
Scotch 2277,spirits/cocktails,Buffalo Trace,95.0,6.0,Smoky,High,global
Cognac 2278,wine,Bulleit,95.75,7.0,Rich / Fruity,Medium,global
Vodka 2279,spirits/cocktails,Captain Morgan,96.5,8.0,Dry / Crisp,High,global
Aged Bourbon 2280,spirits/cocktails,Don Julio,97.25,9.0,Nutty / Woody,High,global
Bourbon 2281,spirits/cocktails,Jameson,8.0,10.0,Sweet,Medium,global
Rye Whiskey 2282,spirits/cocktails,Jack Daniel's,8.75,11.0,Spicy,High,global
Gin 2283,spirits/cocktails,Johnnie Walker,9.5,12.0,Citrusy / Sour,High,global
Gin 2284,spirits/cocktails,Glenfiddich,10.25,13.0,Herbal / Floral,Medium,global
Scotch 2285,spirits/cocktails,Gordon's,11.0,14.0,Smoky,High,global
Cognac 2286,wine,Tanqueray,11.75,15.0,Rich / Fruity,High,global
Vodka 2287,spirits/cocktails,Bacardi,12.5,16.0,Dry / Crisp,Medium,global
Aged Bourbon 2288,spirits/cocktails,Patron,13.25,17.0,Nutty / Woody,High,global
Bourbon 2289,spirits/cocktails,Absolut,14.0,18.0,Sweet,High,global
Rye Whiskey 2290,spirits/cocktails,Smirnoff,14.75,19.0,Spicy,Medium,global
Gin 2291,spirits/cocktails,Moet & Chandon,15.5,20.0,Citrusy / Sour,High,global
Gin 2292,spirits/cocktails,La Marca,16.25,21.0,Herbal / Floral,High,global
Scotch 2293,spirits/cocktails,Barefoot,17.0,22.0,Smoky,Medium,global
Cognac 2294,wine,Robert Mondavi,17.75,23.0,Rich / Fruity,High,global
Vodka 2295,spirits/cocktails,Kim Crawford,18.5,24.0,Dry / Crisp,High,global
Aged Bourbon 2296,spirits/cocktails,Crown Royal,19.25,25.0,Nutty / Woody,Medium,global
Bourbon 2297,spirits/cocktails,Buffalo Trace,20.0,26.0,Sweet,High,global
Rye Whiskey 2298,spirits/cocktails,Bulleit,20.75,27.0,Spicy,High,global
Gin 2299,spirits/cocktails,Captain Morgan,21.5,28.0,Citrusy / Sour,Medium,global
Gin 2300,spirits/cocktails,Don Julio,22.25,29.0,Herbal / Floral,High,global
Scotch 2301,spirits/cocktails,Jameson,23.0,30.0,Smoky,High,global
Cognac 2302,wine,Jack Daniel's,23.75,31.0,Rich / Fruity,Medium,global
Vodka 2303,spirits/cocktails,Johnnie Walker,24.5,32.0,Dry / Crisp,High,global
Aged Bourbon 2304,spirits/cocktails,Glenfiddich,25.25,33.0,Nutty / Woody,High,global
Bourbon 2305,spirits/cocktails,Gordon's,26.0,34.0,Sweet,Medium,global
Rye Whiskey 2306,spirits/cocktails,Tanqueray,26.75,35.0,Spicy,High,global
Gin 2307,spirits/cocktails,Bacardi,27.5,36.0,Citrusy / Sour,High,global
Gin 2308,spirits/cocktails,Patron,28.25,37.0,Herbal / Floral,Medium,global
Scotch 2309,spirits/cocktails,Absolut,29.0,38.0,Smoky,High,global
Cognac 2310,wine,Smirnoff,29.75,39.0,Rich / Fruity,High,global
Vodka 2311,spirits/cocktails,Moet & Chandon,30.5,5.0,Dry / Crisp,Medium,global
Aged Bourbon 2312,spirits/cocktails,La Marca,31.25,6.0,Nutty / Woody,High,global
Bourbon 2313,spirits/cocktails,Barefoot,32.0,7.0,Sweet,High,global
Rye Whiskey 2314,spirits/cocktails,Robert Mondavi,32.75,8.0,Spicy,Medium,global
Gin 2315,spirits/cocktails,Kim Crawford,33.5,9.0,Citrusy / Sour,High,global
Gin 2316,spirits/cocktails,Crown Royal,34.25,10.0,Herbal / Floral,High,global
Scotch 2317,spirits/cocktails,Buffalo Trace,35.0,11.0,Smoky,Medium,global
Cognac 2318,wine,Bulleit,35.75,12.0,Rich / Fruity,High,global
Vodka 2319,spirits/cocktails,Captain Morgan,36.5,13.0,Dry / Crisp,High,global
Aged Bourbon 2320,spirits/cocktails,Don Julio,37.25,14.0,Nutty / Woody,Medium,global
Bourbon 2321,spirits/cocktails,Jameson,38.0,15.0,Sweet,High,global
Rye Whiskey 2322,spirits/cocktails,Jack Daniel's,38.75,16.0,Spicy,High,global
Gin 2323,spirits/cocktails,Johnnie Walker,39.5,17.0,Citrusy / Sour,Medium,global
Gin 2324,spirits/cocktails,Glenfiddich,40.25,18.0,Herbal / Floral,High,global
Scotch 2325,spirits/cocktails,Gordon's,41.0,19.0,Smoky,High,global
Cognac 2326,wine,Tanqueray,41.75,20.0,Rich / Fruity,Medium,global
Vodka 2327,spirits/cocktails,Bacardi,42.5,21.0,Dry / Crisp,High,global
Aged Bourbon 2328,spirits/cocktails,Patron,43.25,22.0,Nutty / Woody,High,global
Bourbon 2329,spirits/cocktails,Absolut,44.0,23.0,Sweet,Medium,global
Rye Whiskey 2330,spirits/cocktails,Smirnoff,44.75,24.0,Spicy,High,global
Gin 2331,spirits/cocktails,Moet & Chandon,45.5,25.0,Citrusy / Sour,High,global
Gin 2332,spirits/cocktails,La Marca,46.25,26.0,Herbal / Floral,Medium,global
Scotch 2333,spirits/cocktails,Barefoot,47.0,27.0,Smoky,High,global
Cognac 2334,wine,Robert Mondavi,47.75,28.0,Rich / Fruity,High,global
Vodka 2335,spirits/cocktails,Kim Crawford,48.5,29.0,Dry / Crisp,Medium,global
Aged Bourbon 2336,spirits/cocktails,Crown Royal,49.25,30.0,Nutty / Woody,High,global
Bourbon 2337,spirits/cocktails,Buffalo Trace,50.0,31.0,Sweet,High,global
Rye Whiskey 2338,spirits/cocktails,Bulleit,50.75,32.0,Spicy,Medium,global
Gin 2339,spirits/cocktails,Captain Morgan,51.5,33.0,Citrusy / Sour,High,global
Gin 2340,spirits/cocktails,Don Julio,52.25,34.0,Herbal / Floral,High,global
Scotch 2341,spirits/cocktails,Jameson,53.0,35.0,Smoky,Medium,global
Cognac 2342,wine,Jack Daniel's,53.75,36.0,Rich / Fruity,High,global
Vodka 2343,spirits/cocktails,Johnnie Walker,54.5,37.0,Dry / Crisp,High,global
Aged Bourbon 2344,spirits/cocktails,Glenfiddich,55.25,38.0,Nutty / Woody,Medium,global
Bourbon 2345,spirits/cocktails,Gordon's,56.0,39.0,Sweet,High,global
Rye Whiskey 2346,spirits/cocktails,Tanqueray,56.75,5.0,Spicy,High,global
Gin 2347,spirits/cocktails,Bacardi,57.5,6.0,Citrusy / Sour,Medium,global
Gin 2348,spirits/cocktails,Patron,58.25,7.0,Herbal / Floral,High,global
Scotch 2349,spirits/cocktails,Absolut,59.0,8.0,Smoky,High,global
Cognac 2350,wine,Smirnoff,59.75,9.0,Rich / Fruity,Medium,global
Vodka 2351,spirits/cocktails,Moet & Chandon,60.5,10.0,Dry / Crisp,High,global
Aged Bourbon 2352,spirits/cocktails,La Marca,61.25,11.0,Nutty / Woody,High,global
Bourbon 2353,spirits/cocktails,Barefoot,62.0,12.0,Sweet,Medium,global
Rye Whiskey 2354,spirits/cocktails,Robert Mondavi,62.75,13.0,Spicy,High,global
Gin 2355,spirits/cocktails,Kim Crawford,63.5,14.0,Citrusy / Sour,High,global
Gin 2356,spirits/cocktails,Crown Royal,64.25,15.0,Herbal / Floral,Medium,global
Scotch 2357,spirits/cocktails,Buffalo Trace,65.0,16.0,Smoky,High,global
Cognac 2358,wine,Bulleit,65.75,17.0,Rich / Fruity,High,global
Vodka 2359,spirits/cocktails,Captain Morgan,66.5,18.0,Dry / Crisp,Medium,global
Aged Bourbon 2360,spirits/cocktails,Don Julio,67.25,19.0,Nutty / Woody,High,global
Bourbon 2361,spirits/cocktails,Jameson,68.0,20.0,Sweet,High,global
Rye Whiskey 2362,spirits/cocktails,Jack Daniel's,68.75,21.0,Spicy,Medium,global
Gin 2363,spirits/cocktails,Johnnie Walker,69.5,22.0,Citrusy / Sour,High,global
Gin 2364,spirits/cocktails,Glenfiddich,70.25,23.0,Herbal / Floral,High,global
Scotch 2365,spirits/cocktails,Gordon's,71.0,24.0,Smoky,Medium,global
Cognac 2366,wine,Tanqueray,71.75,25.0,Rich / Fruity,High,global
Vodka 2367,spirits/cocktails,Bacardi,72.5,26.0,Dry / Crisp,High,global
Aged Bourbon 2368,spirits/cocktails,Patron,73.25,27.0,Nutty / Woody,Medium,global
Bourbon 2369,spirits/cocktails,Absolut,74.0,28.0,Sweet,High,global
Rye Whiskey 2370,spirits/cocktails,Smirnoff,74.75,29.0,Spicy,High,global
Gin 2371,spirits/cocktails,Moet & Chandon,75.5,30.0,Citrusy / Sour,Medium,global
Gin 2372,spirits/cocktails,La Marca,76.25,31.0,Herbal / Floral,High,global
Scotch 2373,spirits/cocktails,Barefoot,77.0,32.0,Smoky,High,global
Cognac 2374,wine,Robert Mondavi,77.75,33.0,Rich / Fruity,Medium,global
Vodka 2375,spirits/cocktails,Kim Crawford,78.5,34.0,Dry / Crisp,High,global
Aged Bourbon 2376,spirits/cocktails,Crown Royal,79.25,35.0,Nutty / Woody,High,global
Bourbon 2377,spirits/cocktails,Buffalo Trace,80.0,36.0,Sweet,Medium,global
Rye Whiskey 2378,spirits/cocktails,Bulleit,80.75,37.0,Spicy,High,global
Gin 2379,spirits/cocktails,Captain Morgan,81.5,38.0,Citrusy / Sour,High,global
Gin 2380,spirits/cocktails,Don Julio,82.25,39.0,Herbal / Floral,Medium,global
Scotch 2381,spirits/cocktails,Jameson,83.0,5.0,Smoky,High,global
Cognac 2382,wine,Jack Daniel's,83.75,6.0,Rich / Fruity,High,global
Vodka 2383,spirits/cocktails,Johnnie Walker,84.5,7.0,Dry / Crisp,Medium,global
Aged Bourbon 2384,spirits/cocktails,Glenfiddich,85.25,8.0,Nutty / Woody,High,global
Bourbon 2385,spirits/cocktails,Gordon's,86.0,9.0,Sweet,High,global
Rye Whiskey 2386,spirits/cocktails,Tanqueray,86.75,10.0,Spicy,Medium,global
Gin 2387,spirits/cocktails,Bacardi,87.5,11.0,Citrusy / Sour,High,global
Gin 2388,spirits/cocktails,Patron,88.25,12.0,Herbal / Floral,High,global
Scotch 2389,spirits/cocktails,Absolut,89.0,13.0,Smoky,Medium,global
Cognac 2390,wine,Smirnoff,89.75,14.0,Rich / Fruity,High,global
Vodka 2391,spirits/cocktails,Moet & Chandon,90.5,15.0,Dry / Crisp,High,global
Aged Bourbon 2392,spirits/cocktails,La Marca,91.25,16.0,Nutty / Woody,Medium,global
Bourbon 2393,spirits/cocktails,Barefoot,92.0,17.0,Sweet,High,global
Rye Whiskey 2394,spirits/cocktails,Robert Mondavi,92.75,18.0,Spicy,High,global
Gin 2395,spirits/cocktails,Kim Crawford,93.5,19.0,Citrusy / Sour,Medium,global
Gin 2396,spirits/cocktails,Crown Royal,94.25,20.0,Herbal / Floral,High,global
Scotch 2397,spirits/cocktails,Buffalo Trace,95.0,21.0,Smoky,High,global
Cognac 2398,wine,Bulleit,95.75,22.0,Rich / Fruity,Medium,global
Vodka 2399,spirits/cocktails,Captain Morgan,96.5,23.0,Dry / Crisp,High,global
Aged Bourbon 2400,spirits/cocktails,Don Julio,97.25,24.0,Nutty / Woody,High,global
Bourbon 2401,spirits/cocktails,Jameson,8.0,25.0,Sweet,Medium,global
Rye Whiskey 2402,spirits/cocktails,Jack Daniel's,8.75,26.0,Spicy,High,global
Gin 2403,spirits/cocktails,Johnnie Walker,9.5,27.0,Citrusy / Sour,High,global
Gin 2404,spirits/cocktails,Glenfiddich,10.25,28.0,Herbal / Floral,Medium,global
Scotch 2405,spirits/cocktails,Gordon's,11.0,29.0,Smoky,High,global
Cognac 2406,wine,Tanqueray,11.75,30.0,Rich / Fruity,High,global
Vodka 2407,spirits/cocktails,Bacardi,12.5,31.0,Dry / Crisp,Medium,global
Aged Bourbon 2408,spirits/cocktails,Patron,13.25,32.0,Nutty / Woody,High,global
Bourbon 2409,spirits/cocktails,Absolut,14.0,33.0,Sweet,High,global
Rye Whiskey 2410,spirits/cocktails,Smirnoff,14.75,34.0,Spicy,Medium,global
Gin 2411,spirits/cocktails,Moet & Chandon,15.5,35.0,Citrusy / Sour,High,global
Gin 2412,spirits/cocktails,La Marca,16.25,36.0,Herbal / Floral,High,global
Scotch 2413,spirits/cocktails,Barefoot,17.0,37.0,Smoky,Medium,global
Cognac 2414,wine,Robert Mondavi,17.75,38.0,Rich / Fruity,High,global
Vodka 2415,spirits/cocktails,Kim Crawford,18.5,39.0,Dry / Crisp,High,global
Aged Bourbon 2416,spirits/cocktails,Crown Royal,19.25,5.0,Nutty / Woody,Medium,global
Bourbon 2417,spirits/cocktails,Buffalo Trace,20.0,6.0,Sweet,High,global
Rye Whiskey 2418,spirits/cocktails,Bulleit,20.75,7.0,Spicy,High,global
Gin 2419,spirits/cocktails,Captain Morgan,21.5,8.0,Citrusy / Sour,Medium,global
Gin 2420,spirits/cocktails,Don Julio,22.25,9.0,Herbal / Floral,High,global
Scotch 2421,spirits/cocktails,Jameson,23.0,10.0,Smoky,High,global
Cognac 2422,wine,Jack Daniel's,23.75,11.0,Rich / Fruity,Medium,global
Vodka 2423,spirits/cocktails,Johnnie Walker,24.5,12.0,Dry / Crisp,High,global
Aged Bourbon 2424,spirits/cocktails,Glenfiddich,25.25,13.0,Nutty / Woody,High,global
Bourbon 2425,spirits/cocktails,Gordon's,26.0,14.0,Sweet,Medium,global
Rye Whiskey 2426,spirits/cocktails,Tanqueray,26.75,15.0,Spicy,High,global
Gin 2427,spirits/cocktails,Bacardi,27.5,16.0,Citrusy / Sour,High,global
Gin 2428,spirits/cocktails,Patron,28.25,17.0,Herbal / Floral,Medium,global
Scotch 2429,spirits/cocktails,Absolut,29.0,18.0,Smoky,High,global
Cognac 2430,wine,Smirnoff,29.75,19.0,Rich / Fruity,High,global
Vodka 2431,spirits/cocktails,Moet & Chandon,30.5,20.0,Dry / Crisp,Medium,global
Aged Bourbon 2432,spirits/cocktails,La Marca,31.25,21.0,Nutty / Woody,High,global
Bourbon 2433,spirits/cocktails,Barefoot,32.0,22.0,Sweet,High,global
Rye Whiskey 2434,spirits/cocktails,Robert Mondavi,32.75,23.0,Spicy,Medium,global
Gin 2435,spirits/cocktails,Kim Crawford,33.5,24.0,Citrusy / Sour,High,global
Gin 2436,spirits/cocktails,Crown Royal,34.25,25.0,Herbal / Floral,High,global
Scotch 2437,spirits/cocktails,Buffalo Trace,35.0,26.0,Smoky,Medium,global
Cognac 2438,wine,Bulleit,35.75,27.0,Rich / Fruity,High,global
Vodka 2439,spirits/cocktails,Captain Morgan,36.5,28.0,Dry / Crisp,High,global
Aged Bourbon 2440,spirits/cocktails,Don Julio,37.25,29.0,Nutty / Woody,Medium,global
Bourbon 2441,spirits/cocktails,Jameson,38.0,30.0,Sweet,High,global
Rye Whiskey 2442,spirits/cocktails,Jack Daniel's,38.75,31.0,Spicy,High,global
Gin 2443,spirits/cocktails,Johnnie Walker,39.5,32.0,Citrusy / Sour,Medium,global
Gin 2444,spirits/cocktails,Glenfiddich,40.25,33.0,Herbal / Floral,High,global
Scotch 2445,spirits/cocktails,Gordon's,41.0,34.0,Smoky,High,global
Cognac 2446,wine,Tanqueray,41.75,35.0,Rich / Fruity,Medium,global
Vodka 2447,spirits/cocktails,Bacardi,42.5,36.0,Dry / Crisp,High,global
Aged Bourbon 2448,spirits/cocktails,Patron,43.25,37.0,Nutty / Woody,High,global
Bourbon 2449,spirits/cocktails,Absolut,44.0,38.0,Sweet,Medium,global
Rye Whiskey 2450,spirits/cocktails,Smirnoff,44.75,39.0,Spicy,High,global
Gin 2451,spirits/cocktails,Moet & Chandon,45.5,5.0,Citrusy / Sour,High,global
Gin 2452,spirits/cocktails,La Marca,46.25,6.0,Herbal / Floral,Medium,global
Scotch 2453,spirits/cocktails,Barefoot,47.0,7.0,Smoky,High,global
Cognac 2454,wine,Robert Mondavi,47.75,8.0,Rich / Fruity,High,global
Vodka 2455,spirits/cocktails,Kim Crawford,48.5,9.0,Dry / Crisp,Medium,global
Aged Bourbon 2456,spirits/cocktails,Crown Royal,49.25,10.0,Nutty / Woody,High,global
Bourbon 2457,spirits/cocktails,Buffalo Trace,50.0,11.0,Sweet,High,global
Rye Whiskey 2458,spirits/cocktails,Bulleit,50.75,12.0,Spicy,Medium,global
Gin 2459,spirits/cocktails,Captain Morgan,51.5,13.0,Citrusy / Sour,High,global
Gin 2460,spirits/cocktails,Don Julio,52.25,14.0,Herbal / Floral,High,global
Scotch 2461,spirits/cocktails,Jameson,53.0,15.0,Smoky,Medium,global
Cognac 2462,wine,Jack Daniel's,53.75,16.0,Rich / Fruity,High,global
Vodka 2463,spirits/cocktails,Johnnie Walker,54.5,17.0,Dry / Crisp,High,global
Aged Bourbon 2464,spirits/cocktails,Glenfiddich,55.25,18.0,Nutty / Woody,Medium,global
Bourbon 2465,spirits/cocktails,Gordon's,56.0,19.0,Sweet,High,global
Rye Whiskey 2466,spirits/cocktails,Tanqueray,56.75,20.0,Spicy,High,global
